Annotation	Gene-Symbol
Metallothionein-RTM-like-in-Human-FlowSort	MT2A
Interstitial-RTM-like-in-Human-SingleCellSig	FOLR2
Interstitial-RTM-like-in-Human-SingleCellSig	LYVE1
Interstitial-RTM-like-in-Human-SingleCellSig	PLTP
Interstitial-RTM-like-in-Human-SingleCellSig	SEPP1
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	S100A4
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	S100A6
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	S100A8
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	S100A9
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	S100A12
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	S100A13
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	AREG
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	CCL4
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	CCR2
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	CD14
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	CD300E
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	CD36
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	CEBPD
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	CLEC11A
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	CLEC12A
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	CSF1R
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	CTSS
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	CX3CR1
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	CXCL2
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	CXCR4
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	EGR1
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	FCN1
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	FOS
