term	name
Tumor_Derived_Promono-like	KBTBD11
Tumor_Derived_Promono-like	CSTA
Tumor_Derived_Promono-like	ANKRD28
Tumor_Derived_Promono-like	PIWIL4
Tumor_Derived_Promono-like	RNVU1-6
Tumor_Derived_Promono-like	F13A1
Tumor_Derived_Promono-like	PROK2
Tumor_Derived_Promono-like	IL31RA
Tumor_Derived_Promono-like	PLAC8
Tumor_Derived_Promono-like	ELF1
Tumor_Derived_Promono-like	EP400NL
Tumor_Derived_Promono-like	EAF2
Tumor_Derived_Promono-like	RFX8
Tumor_Derived_Promono-like	PTGFR
Tumor_Derived_Promono-like	JUN
Tumor_Derived_Promono-like	FRMD3
Tumor_Derived_Promono-like	HOXB-AS3
Tumor_Derived_Promono-like	PHACTR3
Tumor_Derived_Promono-like	AK2
Tumor_Derived_Promono-like	ECRP
Tumor_Derived_Promono-like	DDIT3
Tumor_Derived_Promono-like	RFLNB
Tumor_Derived_Promono-like	FEZ1
Tumor_Derived_Promono-like	SERPINB2
Tumor_Derived_Promono-like	CDKN2A
Tumor_Derived_Monocyte-like	FCN1
Tumor_Derived_Monocyte-like	S100A12
Tumor_Derived_Monocyte-like	MAFB
Tumor_Derived_Monocyte-like	VCAN
Tumor_Derived_Monocyte-like	S100A9
Tumor_Derived_Monocyte-like	PLBD1
Tumor_Derived_Monocyte-like	SERPINA1
Tumor_Derived_Monocyte-like	BCL2A1
Tumor_Derived_Monocyte-like	THBS1
Tumor_Derived_Monocyte-like	PSAP
Tumor_Derived_Monocyte-like	S100A8
Tumor_Derived_Monocyte-like	FPR1
Tumor_Derived_Monocyte-like	C5AR1
Tumor_Derived_Monocyte-like	CD14
Tumor_Derived_Monocyte-like	NAMPT
Tumor_Derived_Monocyte-like	VNN2
Tumor_Derived_Monocyte-like	CTSS
Tumor_Derived_Monocyte-like	DUSP1
Tumor_Derived_Monocyte-like	CEBPB
Tumor_Derived_Monocyte-like	CR1
Tumor_Derived_Monocyte-like	NFKBIA
Tumor_Derived_Monocyte-like	SLC11A1
Tumor_Derived_Monocyte-like	LILRB3
Tumor_Derived_Monocyte-like	BCL6
Tumor_Derived_Monocyte-like	CYP1B1
Tumor_Derived_Monocyte-like	TNFAIP2
Tumor_Derived_Monocyte-like	MS4A10
Tumor_Derived_Monocyte-like	AQP9
Tumor_Derived_Monocyte-like	TLR4
Tumor_Derived_Monocyte-like	APOBEC3A
Tumor_Derived_Monocyte-like	LRRK2
Tumor_Derived_Monocyte-like	CD163
Tumor_Derived_Monocyte-like	LRP1
Tumor_Derived_Monocyte-like	S100A10
Tumor_Derived_Monocyte-like	CD68
Tumor_Derived_Monocyte-like	MEGF9
Tumor_Derived_Monocyte-like	NCF2
Tumor_Derived_Monocyte-like	LOC643802
Tumor_Derived_Monocyte-like	IFNGR1
Tumor_Derived_Monocyte-like	FTL
Tumor_Derived_Monocyte-like	SLC24A4
Tumor_Derived_Monocyte-like	CD300E
Tumor_Derived_Monocyte-like	CXCL8
Tumor_Derived_Monocyte-like	CLEC7A
Tumor_Derived_Monocyte-like	NEAT1
Tumor_Derived_Monocyte-like	CLEC4E
Tumor_Derived_Monocyte-like	CRISPLD2
Tumor_Derived_Monocyte-like	MEFV
Tumor_Derived_Monocyte-like	ACSL1
Tumor_Derived_Monocyte-like	NCF1
Tumor_Derived_cDC-like	MRC1
Tumor_Derived_cDC-like	HLA-DRB5
Tumor_Derived_cDC-like	CST3
Tumor_Derived_cDC-like	SAMHD1
Tumor_Derived_cDC-like	NAPSB
Tumor_Derived_cDC-like	FCER1A
Tumor_Derived_cDC-like	HLA-DRB1
Tumor_Derived_cDC-like	JAML
Tumor_Derived_cDC-like	PKIB
Tumor_Derived_cDC-like	HLA-DRA
Tumor_Derived_cDC-like	HLA-DRB6
Tumor_Derived_cDC-like	CPVL
Tumor_Derived_cDC-like	HLA-DPB1
Tumor_Derived_cDC-like	HLA-DQA1
Tumor_Derived_cDC-like	HLA-DPA1
Tumor_Derived_cDC-like	CLEC4A
Tumor_Derived_cDC-like	TMSB10
Tumor_Derived_cDC-like	CAP1
Tumor_Derived_cDC-like	HLA-DQB1
Tumor_Derived_cDC-like	CRIP1
Tumor_Derived_cDC-like	CLEC10A
Tumor_Derived_cDC-like	GPX1
Tumor_Derived_cDC-like	ITGB7
Tumor_Derived_cDC-like	HLA-DQB2
Tumor_Derived_cDC-like	DBI
Tumor_Derived_cDC-like	FTH1P3
Tumor_Derived_cDC-like	ACTB
Tumor_Derived_cDC-like	HLA-DQA2
Tumor_Derived_cDC-like	S100B
Tumor_Derived_cDC-like	ALDH2
Tumor_Derived_cDC-like	GABARAP
Tumor_Derived_cDC-like	LY86
Tumor_Derived_cDC-like	IGSF6
Tumor_Derived_cDC-like	HLA-DPB2
Tumor_Derived_cDC-like	CD74
Tumor_Derived_cDC-like	PAK1
Tumor_Derived_cDC-like	LGALS2
Tumor_Derived_cDC-like	CSF1R
Tumor_Derived_cDC-like	PALLD
Tumor_Derived_cDC-like	CCR2
